,customer_id,customer_name,phone_number,message,extracted_date
21,1,Joe Deleon,9043212432,"Greetings, Your SIP of 26/05/2024 for Rs.3081.17 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 23.052.subject to realisation.Mirae Asset MF",2024-05-26
23,1,Joe Deleon,9043212432,Spent Rs.1853 On HDFC Bank Card 1347 At SNYDER PLC. On 2024-06-03:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-06-03
25,1,Joe Deleon,9043212432,"Alert! Premium of Rs. 40491.30 due on 25/05/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your HDFC Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-05-25
47,1,Joe Deleon,9043212432,"Greetings, Your SIP of 25/06/2024 for Rs.843.12 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 44.743.subject to realisation.Mirae Asset MF",2024-06-25
48,1,Joe Deleon,9043212432,"Spent Rs.10872 On HDFC Bank Card 1347 At VELASQUEZ, SNOW AND BOYD. On 2024-06-24:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2024-06-24
71,1,Joe Deleon,9043212432,"Greetings, Your SIP of 25/07/2024 for Rs.1013.35 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 28.132.subject to realisation.Mirae Asset MF",2024-07-25
73,1,Joe Deleon,9043212432,Spent Rs.6815 On HDFC Bank Card 1347 At VELAZQUEZ-SCHMIDT. On 2024-08-03:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-08-03
96,1,Joe Deleon,9043212432,"Greetings, Your SIP of 24/08/2024 for Rs.1351.51 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 30.865.subject to realisation.Mirae Asset MF",2024-08-24
97,1,Joe Deleon,9043212432,Spent Rs.14050 On HDFC Bank Card 1347 At BANKS-ADAMS. On 2024-09-02:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-09-02
120,1,Joe Deleon,9043212432,"Greetings, Your SIP of 23/09/2024 for Rs.3638.66 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 13.078.subject to realisation.Mirae Asset MF",2024-09-23
122,1,Joe Deleon,9043212432,Spent Rs.13302 On HDFC Bank Card 1347 At TOWNSEND-MCCARTHY. On 2024-09-28:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-09-28
145,1,Joe Deleon,9043212432,"Greetings, Your SIP of 23/10/2024 for Rs.1253.1 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 47.334.subject to realisation.Mirae Asset MF",2024-10-23
147,1,Joe Deleon,9043212432,Spent Rs.2556 On HDFC Bank Card 1347 At PRESTON LLC. On 2024-10-25:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-10-25
170,1,Joe Deleon,9043212432,"Greetings, Your SIP of 22/11/2024 for Rs.4018.54 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 18.876.subject to realisation.Mirae Asset MF",2024-11-22
172,1,Joe Deleon,9043212432,"Spent Rs.13583 On HDFC Bank Card 1347 At MCCLAIN, ADAMS AND LEE. On 2024-12-03:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2024-12-03
174,1,Joe Deleon,9043212432,"Alert! Premium of Rs. 46573.54 due on 21/11/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your HDFC Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-11-21
196,1,Joe Deleon,9043212432,"Greetings, Your SIP of 22/12/2024 for Rs.4355.0 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 36.091.subject to realisation.Mirae Asset MF",2024-12-22
198,1,Joe Deleon,9043212432,Spent Rs.12420 On HDFC Bank Card 1347 At GORDON-ROBINSON. On 2024-12-25:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-12-25
221,1,Joe Deleon,9043212432,"Greetings, Your SIP of 21/01/2025 for Rs.3959.53 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 44.168.subject to realisation.Mirae Asset MF",2025-01-21
223,1,Joe Deleon,9043212432,Spent Rs.8399 On HDFC Bank Card 1347 At KEY-ADAMS. On 2025-01-27:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2025-01-27
246,1,Joe Deleon,9043212432,"Greetings, Your SIP of 20/02/2025 for Rs.4439.07 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 46.569.subject to realisation.Mirae Asset MF",2025-02-20
248,1,Joe Deleon,9043212432,"Spent Rs.572 On HDFC Bank Card 1347 At CHARLES, WARNER AND RIVAS. On 2025-02-27:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-02-27
271,1,Joe Deleon,9043212432,"Greetings, Your SIP of 22/03/2025 for Rs.1585.8 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 31.093.subject to realisation.Mirae Asset MF",2025-03-22
273,1,Joe Deleon,9043212432,"Spent Rs.692 On HDFC Bank Card 1347 At RICHARDSON, AVILA AND LYNCH. On 2025-03-21:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-03-21
296,1,Joe Deleon,9043212432,"Greetings, Your SIP of 21/04/2025 for Rs.4877.2 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 11.004.subject to realisation.Mirae Asset MF",2025-04-21
297,1,Joe Deleon,9043212432,Spent Rs.10000 On HDFC Bank Card 1347 At WILLIAMS LTD. On 2025-04-29:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2025-04-29
320,2,Allison Taylor,9957499924,"Greetings, Your SIP of 26/05/2024 for Rs.885.41 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 30.957.subject to realisation.Mirae Asset MF",2024-05-26
322,2,Allison Taylor,9957499924,"Spent Rs.2720 On Kotak Bank Card 1347 At HO, ROBERTSON AND MULLINS. On 2024-05-25:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2024-05-25
324,2,Allison Taylor,9957499924,"Alert! Premium of Rs. 47218.94 due on 25/05/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your Kotak Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-05-25
346,2,Allison Taylor,9957499924,"Greetings, Your SIP of 25/06/2024 for Rs.899.29 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 39.661.subject to realisation.Mirae Asset MF",2024-06-25
347,2,Allison Taylor,9957499924,Spent Rs.12378 On Kotak Bank Card 1347 At WATSON-THOMAS. On 2024-07-09:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-07-09
370,2,Allison Taylor,9957499924,"Greetings, Your SIP of 25/07/2024 for Rs.3291.75 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 28.114.subject to realisation.Mirae Asset MF",2024-07-25
372,2,Allison Taylor,9957499924,"Spent Rs.14636 On Kotak Bank Card 1347 At POOLE, NEWMAN AND OWENS. On 2024-08-08:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2024-08-08
395,2,Allison Taylor,9957499924,"Greetings, Your SIP of 24/08/2024 for Rs.987.67 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 25.427.subject to realisation.Mirae Asset MF",2024-08-24
396,2,Allison Taylor,9957499924,"Spent Rs.8078 On Kotak Bank Card 1347 At GRAY, SWANSON AND HO. On 2024-09-06:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2024-09-06
419,2,Allison Taylor,9957499924,"Greetings, Your SIP of 23/09/2024 for Rs.4878.77 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 10.866.subject to realisation.Mirae Asset MF",2024-09-23
421,2,Allison Taylor,9957499924,Spent Rs.2458 On Kotak Bank Card 1347 At CALLAHAN-YOUNG. On 2024-10-05:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-10-05
444,2,Allison Taylor,9957499924,"Greetings, Your SIP of 23/10/2024 for Rs.3388.61 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 13.847.subject to realisation.Mirae Asset MF",2024-10-23
446,2,Allison Taylor,9957499924,Spent Rs.7482 On Kotak Bank Card 1347 At HUNTER-WEEKS. On 2024-11-06:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-11-06
469,2,Allison Taylor,9957499924,"Greetings, Your SIP of 22/11/2024 for Rs.932.98 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 39.661.subject to realisation.Mirae Asset MF",2024-11-22
471,2,Allison Taylor,9957499924,Spent Rs.3245 On Kotak Bank Card 1347 At UNDERWOOD-COLLINS. On 2024-11-22:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-11-22
473,2,Allison Taylor,9957499924,"Alert! Premium of Rs. 35362.53 due on 21/11/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your Kotak Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-11-21
495,2,Allison Taylor,9957499924,"Greetings, Your SIP of 22/12/2024 for Rs.769.37 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 44.890.subject to realisation.Mirae Asset MF",2024-12-22
496,2,Allison Taylor,9957499924,Spent Rs.1335 On Kotak Bank Card 1347 At KIRK-DYER. On 2025-01-01:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2025-01-01
519,2,Allison Taylor,9957499924,"Greetings, Your SIP of 21/01/2025 for Rs.2358.48 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 46.953.subject to realisation.Mirae Asset MF",2025-01-21
521,2,Allison Taylor,9957499924,"Spent Rs.3523 On Kotak Bank Card 1347 At NEWMAN, WEBB AND SILVA. On 2025-01-28:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-01-28
544,2,Allison Taylor,9957499924,"Greetings, Your SIP of 20/02/2025 for Rs.2486.84 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 28.447.subject to realisation.Mirae Asset MF",2025-02-20
546,2,Allison Taylor,9957499924,"Spent Rs.2514 On Kotak Bank Card 1347 At PAYNE, CARLSON AND WILLIAMS. On 2025-03-04:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-03-04
569,2,Allison Taylor,9957499924,"Greetings, Your SIP of 22/03/2025 for Rs.2613.94 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 40.094.subject to realisation.Mirae Asset MF",2025-03-22
571,2,Allison Taylor,9957499924,Spent Rs.6706 On Kotak Bank Card 1347 At PATTON-SMITH. On 2025-04-03:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2025-04-03
594,2,Allison Taylor,9957499924,"Greetings, Your SIP of 21/04/2025 for Rs.2206.7 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 38.595.subject to realisation.Mirae Asset MF",2025-04-21
595,2,Allison Taylor,9957499924,"Spent Rs.3335 On Kotak Bank Card 1347 At SHORT, THOMAS AND SUMMERS. On 2025-04-29:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-04-29
618,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 26/05/2024 for Rs.1196.61 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 29.830.subject to realisation.Mirae Asset MF",2024-05-26
620,3,Jennifer Turner,9205572967,"Spent Rs.13428 On Kotak Bank Card 0897 At EDWARDS, NELSON AND BARBER. On 2024-06-02:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808",2024-06-02
622,3,Jennifer Turner,9205572967,"Alert! Premium of Rs. 24001.10 due on 25/05/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your Kotak Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-05-25
644,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 25/06/2024 for Rs.3574.82 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 18.158.subject to realisation.Mirae Asset MF",2024-06-25
645,3,Jennifer Turner,9205572967,Spent Rs.8524 On Kotak Bank Card 0897 At CRAIG-THOMAS. On 2024-07-08:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2024-07-08
668,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 25/07/2024 for Rs.2104.32 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 42.313.subject to realisation.Mirae Asset MF",2024-07-25
