Date,SMS
05-MAY-24,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-MAY-24 for FT- Salary MAY 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 656375. Cheque deposits in A/C are subject to clearing
03-MAY-24,EMI of Rs. 27192 for Loan A/c H402HHL1435405 is due on 03 May 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd
11-MAY-24,"Greetings, Your SIP of 11/05/2024 for Rs.2499.88 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 30.441.subject to realisation.Mirae Asset MF"
05-MAY-24,Spent Rs.1632 On HDFC Bank Card 0897 At BIG BAZAAR. On 05MAY24:20:58:11.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
03-MAY-24,Spent Rs.4635 On HDFC Bank Card 0897 At ZOMATO. On 03MAY24:20:58:11.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
02-MAY-24,Spent Rs.2575 On HDFC Bank Card 0897 At ZOMATO. On 02MAY24:20:58:11.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
31-MAY-24,Rs.1308 credited to HDFC Bank A/c XX1210 on 31-MAY-24 from VPA 8237581940@axl (UPI 526137840003)
07-MAY-24,"HDFC Bank Cardmember, Payment of Rs 1000 was credited to your card ending 0897 on 07/MAY/24."
05-JUN-24,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-JUN-24 for FT- Salary JUN 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 699206. Cheque deposits in A/C are subject to clearing
03-JUN-24,EMI of Rs. 27192 for Loan A/c H402HHL1435405 is due on 03 Jun 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd
11-JUN-24,"Greetings, Your SIP of 11/06/2024 for Rs.2499.88 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 30.441.subject to realisation.Mirae Asset MF"
24-JUN-24,Spent Rs.1405 On HDFC Bank Card 0897 At DMART. On 24JUN24:20:58:11.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
15-JUN-24,Spent Rs.4816 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 15JUN24:20:58:11.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
19-JUN-24,Rs.1405 credited to HDFC Bank A/c XX1210 on 19-JUN-24 from VPA 8237581940@axl (UPI 526137840003)
07-JUN-24,"HDFC Bank Cardmember, Payment of Rs 1356 was credited to your card ending 0897 on 07/JUN/24."
05-JUL-24,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-JUL-24 for FT- Salary JUL 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 606351. Cheque deposits in A/C are subject to clearing
03-JUL-24,EMI of Rs. 27192 for Loan A/c H402HHL1435405 is due on 03 Jul 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd
11-JUL-24,"Greetings, Your SIP of 11/07/2024 for Rs.2499.88 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 30.441.subject to realisation.Mirae Asset MF"
