Date,SMS
2024-05-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-May-24 for FT- Salary May 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 579887. Cheque deposits in A/C are subject to clearing
2024-05-13,"Greetings, Your SIP of 13/05/2024 for Rs.2015.7 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 25.131.subject to realisation.Mirae Asset MF"
2024-05-04,EMI of Rs. 8843 for Loan A/c H402HHL4640364 is due on 04 May 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-05-05,EMI of Rs. 15584 for Loan A/c H402HHL7927565 is due on 05 May 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2024-05-04,EMI of Rs. 25187 for Loan A/c H402HHL8514336 is due on 04 May 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-05-15,Spent Rs.3831 On HDFC Bank Card 0897 At DOMINOS. On 2024-05-15:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-05-18,Spent Rs.12061 On HDFC Bank Card 0897 At UBER. On 2024-05-18:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-05-13,Spent Rs.8733 On HDFC Bank Card 0897 At UBER. On 2024-05-13:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-05-04,Spent Rs.13497 On HDFC Bank Card 0897 At DOMINOS. On 2024-05-04:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-05-09,Rs.1262 credited to HDFC Bank A/c XX1210 on 09-05-24 from VPA 8237581940@axl (UPI 116149338442)
2024-05-04,"HDFC Bank Cardmember, Payment of Rs 2112 was credited to your card ending 0897 on 04/May/2024."
2024-06-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Jun-24 for FT- Salary Jun 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 531937. Cheque deposits in A/C are subject to clearing
2024-06-13,"Greetings, Your SIP of 13/06/2024 for Rs.2707.12 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 27.692.subject to realisation.Mirae Asset MF"
2024-06-04,EMI of Rs. 21300 for Loan A/c H402HHL8674069 is due on 04 Jun 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-06-02,EMI of Rs. 13690 for Loan A/c H402HHL1383196 is due on 02 Jun 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-06-04,EMI of Rs. 26758 for Loan A/c H402HHL2411041 is due on 04 Jun 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-06-18,Spent Rs.14457 On HDFC Bank Card 0897 At AMAZON. On 2024-06-18:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-06-03,Spent Rs.10741 On HDFC Bank Card 0897 At BIG BAZAAR. On 2024-06-03:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-06-26,Spent Rs.7890 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-06-26:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-06-21,Spent Rs.6863 On HDFC Bank Card 0897 At UBER. On 2024-06-21:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-06-29,Spent Rs.11160 On HDFC Bank Card 0897 At DOMINOS. On 2024-06-29:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-06-08,Rs.4540 credited to HDFC Bank A/c XX1210 on 08-06-24 from VPA 8237581940@axl (UPI 340341734623)
2024-06-07,"HDFC Bank Cardmember, Payment of Rs 1403 was credited to your card ending 0897 on 07/Jun/2024."
2024-07-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Jul-24 for FT- Salary Jul 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 657335. Cheque deposits in A/C are subject to clearing
2024-07-10,"Greetings, Your SIP of 10/07/2024 for Rs.2063.25 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 25.064.subject to realisation.Mirae Asset MF"
2024-07-05,EMI of Rs. 15015 for Loan A/c H402HHL1369319 is due on 05 Jul 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2024-07-06,EMI of Rs. 25762 for Loan A/c H402HHL7825111 is due on 06 Jul 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-07-06,EMI of Rs. 23915 for Loan A/c H402HHL9852662 is due on 06 Jul 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-07-24,Spent Rs.7076 On HDFC Bank Card 0897 At AMAZON. On 2024-07-24:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-07-25,Spent Rs.2196 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-07-25:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-07-13,Spent Rs.8865 On HDFC Bank Card 0897 At AMAZON. On 2024-07-13:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-07-12,Spent Rs.10048 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-07-12:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-07-22,Spent Rs.5240 On HDFC Bank Card 0897 At DOMINOS. On 2024-07-22:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
